   left(nm)	   right(nm)      LP01_power(dBm)  left(nm)	   right(nm)      LP11a_power(dBm) left(nm)	   right(nm)      LP02_power(dBm)
   1.5539327e+03   1.5535300e+03  -6.1993409e+01   1.5539327e+03   1.5535300e+03  -6.2806708e+01   1.5539327e+03   1.5535300e+03  -6.7108973e+01
   1.5535300e+03   1.5531276e+03  -6.2129644e+01   1.5535300e+03   1.5531276e+03  -6.2924863e+01   1.5535300e+03   1.5531276e+03  -6.7144762e+01
   1.5531276e+03   1.5527254e+03  -6.2265416e+01   1.5531276e+03   1.5527254e+03  -6.3042664e+01   1.5531276e+03   1.5527254e+03  -6.7180768e+01
   1.5527254e+03   1.5523234e+03  -6.2400709e+01   1.5527254e+03   1.5523234e+03  -6.3160100e+01   1.5527254e+03   1.5523234e+03  -6.7216985e+01
   1.5523234e+03   1.5519216e+03  -6.2535508e+01   1.5523234e+03   1.5519216e+03  -6.3277156e+01   1.5523234e+03   1.5519216e+03  -6.7253408e+01
   1.5519216e+03   1.5515200e+03  -6.2733895e+01   1.5519216e+03   1.5515200e+03  -6.3451468e+01   1.5519216e+03   1.5515200e+03  -6.7320895e+01
   1.5515200e+03   1.5511187e+03  -6.2958861e+01   1.5515200e+03   1.5511187e+03  -6.3649791e+01   1.5515200e+03   1.5511187e+03  -6.7401853e+01
   1.5511187e+03   1.5507175e+03  -6.3182066e+01   1.5511187e+03   1.5507175e+03  -6.3846653e+01   1.5511187e+03   1.5507175e+03  -6.7482689e+01
   1.5507175e+03   1.5503165e+03  -6.3403461e+01   1.5507175e+03   1.5503165e+03  -6.4042017e+01   1.5507175e+03   1.5503165e+03  -6.7563393e+01
   1.5503165e+03   1.5499158e+03  -6.3622998e+01   1.5503165e+03   1.5499158e+03  -6.4235847e+01   1.5503165e+03   1.5499158e+03  -6.7643957e+01
   1.5499158e+03   1.5495152e+03  -6.3917355e+01   1.5499158e+03   1.5495152e+03  -6.4497176e+01   1.5499158e+03   1.5495152e+03  -6.7761516e+01
   1.5495152e+03   1.5491149e+03  -6.4239009e+01   1.5495152e+03   1.5491149e+03  -6.4783359e+01   1.5495152e+03   1.5491149e+03  -6.7893604e+01
   1.5491149e+03   1.5487148e+03  -6.4569404e+01   1.5491149e+03   1.5487148e+03  -6.5077746e+01   1.5491149e+03   1.5487148e+03  -6.8031395e+01
   1.5487148e+03   1.5483148e+03  -6.4942882e+01   1.5487148e+03   1.5483148e+03  -6.5411393e+01   1.5487148e+03   1.5483148e+03  -6.8191941e+01
   1.5483148e+03   1.5479151e+03  -6.5309590e+01   1.5483148e+03   1.5479151e+03  -6.5739466e+01   1.5483148e+03   1.5479151e+03  -6.8351290e+01
   1.5479151e+03   1.5475156e+03  -6.5669316e+01   1.5479151e+03   1.5475156e+03  -6.6061812e+01   1.5479151e+03   1.5475156e+03  -6.8509412e+01
   1.5475156e+03   1.5471163e+03  -6.6021856e+01   1.5475156e+03   1.5471163e+03  -6.6378285e+01   1.5475156e+03   1.5471163e+03  -6.8666278e+01
   1.5471163e+03   1.5467172e+03  -6.6370674e+01   1.5471163e+03   1.5467172e+03  -6.6692050e+01   1.5471163e+03   1.5467172e+03  -6.8823614e+01
   1.5467172e+03   1.5463183e+03  -6.6725322e+01   1.5467172e+03   1.5463183e+03  -6.7011810e+01   1.5467172e+03   1.5463183e+03  -6.8986193e+01
   1.5463183e+03   1.5459196e+03  -6.7071447e+01   1.5463183e+03   1.5459196e+03  -6.7324658e+01   1.5463183e+03   1.5459196e+03  -6.9147269e+01
