# df	RamanGain
# [ THz ] [ 1/km/W ]
# PumpWavelength [ nm ] 1460
16.30	0.19774
16.35	0.19381
16.40	0.18917
16.45	0.18418
16.50	0.18273
16.55	0.18151
16.60	0.18020
16.65	0.17793
16.70	0.17566
16.75	0.17353
16.80	0.17151
16.85	0.17198
16.90	0.17300
16.95	0.17389
17.00	0.17390
17.05	0.17391
17.10	0.17519
17.15	0.17717
17.20	0.17900
17.25	0.18083
17.30	0.18284
17.35	0.18523
17.40	0.18762
17.45	0.18724
17.50	0.18707
17.55	0.18891
17.60	0.19075
17.65	0.19252
17.70	0.19424
17.75	0.19583
17.80	0.19677
17.85	0.19847
17.90	0.20090
17.95	0.20333
18.00	0.20358
18.05	0.20348
18.10	0.20135
18.15	0.19516
18.20	0.19087
18.25	0.18755
18.30	0.18414
18.35	0.17916
18.40	0.17418
18.45	0.16250
18.50	0.14654
18.55	0.14016
18.60	0.13456
18.65	0.12938
18.70	0.12516
18.75	0.12095
18.80	0.11416
18.85	0.10775
18.90	0.10526
18.95	0.10278
19.00	0.09992
19.05	0.09683
19.10	0.09395
19.15	0.09189
19.20	0.08983
19.25	0.08883
19.30	0.08824
19.35	0.08640
19.40	0.08448
19.45	0.08288
19.50	0.08161
19.55	0.08035
19.60	0.07917
19.65	0.07806
19.70	0.07711
19.75	0.07617
19.80	0.07489
19.85	0.07324
19.90	0.07160
19.95	0.07115
20.00	0.07087
20.05	0.06907
20.10	0.06726
20.15	0.06638
20.20	0.06778
20.25	0.06918
20.30	0.07036
20.35	0.07141
20.40	0.07067
20.45	0.06944
20.50	0.06825
20.55	0.06724
20.60	0.06622
20.65	0.06654
20.70	0.06794
20.75	0.06809
20.80	0.06792
20.85	0.06767
20.90	0.06712
20.95	0.06657
21.00	0.06850
21.05	0.07157
21.10	0.07232
21.15	0.07306
21.20	0.07263
21.25	0.07143
21.30	0.07028
21.35	0.07026
21.40	0.07022
21.45	0.07017
21.50	0.07012
21.55	0.06892
21.60	0.06751
21.65	0.06637
21.70	0.06578
21.75	0.06534
21.80	0.06503
21.85	0.06467
21.90	0.06399
21.95	0.06330
22.00	0.06243
22.05	0.06140
22.10	0.06168
22.15	0.06211
22.20	0.06189
22.25	0.06102
22.30	0.06024
22.35	0.06009
22.40	0.05994
22.45	0.06228
22.50	0.06478
22.55	0.06505
22.60	0.06533
22.65	0.06600
22.70	0.06668
22.75	0.06757
22.80	0.06862
22.85	0.06960
22.90	0.07059
22.95	0.07099
23.00	0.07117
23.05	0.07218
23.10	0.07469
23.15	0.07626
23.20	0.07741
23.25	0.07903
23.30	0.08143
23.35	0.08384
23.40	0.08975
23.45	0.09507
23.50	0.09804
23.55	0.10102
23.60	0.10309
23.65	0.10499
23.70	0.10717
23.75	0.10977
23.80	0.11038
23.85	0.11052
23.90	0.10998
23.95	0.10877
24.00	0.10754
24.05	0.10600
24.10	0.10447
24.15	0.10345
24.20	0.10284
24.25	0.10310
24.30	0.10336
24.35	0.10355
24.40	0.10373
24.45	0.10358
24.50	0.10282
24.55	0.10274
24.60	0.10287
24.65	0.10218
24.70	0.10009
24.75	0.09781
24.80	0.09538
24.85	0.09298
24.90	0.09093
24.95	0.08889
25.00	0.08659
25.05	0.08410
25.10	0.08152
25.15	0.07658
25.20	0.07277
25.25	0.07045
25.30	0.06792
25.35	0.06425
25.40	0.06057
25.45	0.05826
25.50	0.05634
25.55	0.05367
25.60	0.04974
25.65	0.04579
25.70	0.03930
25.75	0.03383
25.80	0.02951
25.85	0.02529
25.90	0.02182
25.95	0.01835
26.00	0.01519
26.05	0.01207
26.10	0.01329
26.15	0.01642
26.20	0.01617
26.25	0.01593
26.30	0.01667
26.35	0.01797
26.40	0.01956
26.45	0.02153
26.50	0.02338
26.55	0.02317
26.60	0.02297
26.65	0.02276
26.70	0.02255
26.75	0.02235
26.80	0.02214
26.85	0.02194
26.90	0.02173
26.95	0.02152
27.00	0.00000
