# df	RamanGain
# [ THz ] [ 1/km/W ]
# PumpWavelength [ nm ] 1460
0.00	0.00000
0.05	0.00237
0.10	0.00474
0.15	0.00711
0.20	0.00947
0.25	0.01184
0.30	0.01421
0.35	0.01658
0.40	0.01895
0.45	0.02132
0.50	0.02368
0.55	0.02605
0.60	0.02842
0.65	0.03079
0.70	0.03316
0.75	0.03553
0.80	0.03778
0.85	0.04003
0.90	0.04228
0.95	0.05040
1.00	0.05886
1.05	0.06393
1.10	0.06796
1.15	0.07198
1.20	0.07615
1.25	0.08045
1.30	0.08475
1.35	0.08949
1.40	0.09467
1.45	0.09912
1.50	0.10181
1.55	0.10450
1.60	0.10719
1.65	0.11118
1.70	0.11518
1.75	0.11724
1.80	0.11896
1.85	0.12067
1.90	0.12239
1.95	0.12412
2.00	0.12584
2.05	0.12808
2.10	0.13096
2.15	0.13371
2.20	0.13610
2.25	0.13849
2.30	0.14082
2.35	0.14298
2.40	0.14502
2.45	0.14672
2.50	0.14842
2.55	0.15008
2.60	0.15157
2.65	0.15307
2.70	0.15485
2.75	0.15762
2.80	0.15984
2.85	0.16027
2.90	0.16070
2.95	0.16126
3.00	0.16231
3.05	0.16341
3.10	0.16470
3.15	0.16599
3.20	0.16714
3.25	0.16760
3.30	0.16807
3.35	0.16885
3.40	0.17185
3.45	0.17475
3.50	0.17652
3.55	0.17830
3.60	0.18007
3.65	0.18108
3.70	0.18203
3.75	0.18299
3.80	0.18352
3.85	0.18394
3.90	0.18447
3.95	0.18504
4.00	0.18562
4.05	0.18478
4.10	0.18301
4.15	0.18124
4.20	0.18033
4.25	0.18046
4.30	0.18060
4.35	0.18064
4.40	0.18052
4.45	0.18065
4.50	0.18139
4.55	0.18214
4.60	0.18272
4.65	0.18281
4.70	0.18291
4.75	0.18327
4.80	0.18454
4.85	0.18550
4.90	0.18544
4.95	0.18538
5.00	0.18558
5.05	0.18654
5.10	0.18750
5.15	0.18840
5.20	0.18915
5.25	0.18995
5.30	0.19090
5.35	0.19186
5.40	0.19281
5.45	0.19374
5.50	0.19468
5.55	0.19584
5.60	0.19791
5.65	0.19990
5.70	0.20138
5.75	0.20287
5.80	0.20433
5.85	0.20545
5.90	0.20657
5.95	0.20768
6.00	0.20953
6.05	0.21140
6.10	0.21253
6.15	0.21356
6.20	0.21460
6.25	0.21569
6.30	0.21680
6.35	0.21791
6.40	0.21908
6.45	0.22027
6.50	0.22153
6.55	0.22281
6.60	0.22409
6.65	0.22553
6.70	0.22702
6.75	0.22851
6.80	0.23094
6.85	0.23361
6.90	0.23532
6.95	0.23682
7.00	0.23833
7.05	0.23988
7.10	0.24144
7.15	0.24300
7.20	0.24541
7.25	0.24801
7.30	0.25003
7.35	0.25187
7.40	0.25372
7.45	0.25559
7.50	0.25747
7.55	0.25936
7.60	0.26223
7.65	0.26510
7.70	0.26747
7.75	0.26979
7.80	0.27211
7.85	0.27448
7.90	0.27684
7.95	0.27921
8.00	0.28182
8.05	0.28443
8.10	0.28707
8.15	0.29052
8.20	0.29397
8.25	0.29660
8.30	0.29917
8.35	0.30175
8.40	0.30419
8.45	0.30662
8.50	0.30905
8.55	0.31266
8.60	0.31648
8.65	0.31914
8.70	0.32157
8.75	0.32399
8.80	0.32660
8.85	0.32923
8.90	0.33193
8.95	0.33595
9.00	0.33984
9.05	0.34260
9.10	0.34537
9.15	0.34812
9.20	0.35084
9.25	0.35355
9.30	0.35702
9.35	0.36117
9.40	0.36456
9.45	0.36733
9.50	0.37010
9.55	0.37295
9.60	0.37587
9.65	0.37879
9.70	0.38270
9.75	0.38732
9.80	0.39115
9.85	0.39441
9.90	0.39767
9.95	0.40081
10.00	0.40389
10.05	0.40698
10.10	0.41040
10.15	0.41393
10.20	0.41746
10.25	0.42283
10.30	0.42814
10.35	0.43150
10.40	0.43486
10.45	0.43825
10.50	0.44192
10.55	0.44559
10.60	0.44984
10.65	0.45580
10.70	0.46058
10.75	0.46378
10.80	0.46699
10.85	0.47045
10.90	0.47425
10.95	0.47804
11.00	0.48311
11.05	0.48872
11.10	0.49243
11.15	0.49575
11.20	0.49907
11.25	0.50273
11.30	0.50638
11.35	0.51054
11.40	0.51546
11.45	0.51934
11.50	0.52224
11.55	0.52514
11.60	0.52819
11.65	0.53131
11.70	0.53461
11.75	0.53875
11.80	0.54261
11.85	0.54518
11.90	0.54775
11.95	0.55047
12.00	0.55346
12.05	0.55645
12.10	0.56022
12.15	0.56444
12.20	0.56740
12.25	0.56967
12.30	0.57194
12.35	0.57445
12.40	0.57708
12.45	0.57970
12.50	0.58326
12.55	0.58689
12.60	0.58901
12.65	0.59100
12.70	0.59299
12.75	0.59513
12.80	0.59728
12.85	0.59972
12.90	0.60283
12.95	0.60520
13.00	0.60650
13.05	0.60781
13.10	0.60888
13.15	0.60975
13.20	0.61063
13.25	0.61098
13.30	0.61125
13.35	0.61021
13.40	0.60916
13.45	0.60790
13.50	0.60598
13.55	0.60406
13.60	0.60181
13.65	0.59940
13.70	0.59698
13.75	0.59306
13.80	0.58889
13.85	0.58625
13.90	0.58361
13.95	0.58142
14.00	0.57986
14.05	0.57830
14.10	0.57713
14.15	0.57631
14.20	0.57633
14.25	0.57673
14.30	0.57712
14.35	0.57728
14.40	0.57744
14.45	0.57721
14.50	0.57545
14.55	0.57330
14.60	0.57049
14.65	0.56768
14.70	0.56226
14.75	0.55593
14.80	0.54961
14.85	0.53551
14.90	0.51992
14.95	0.50629
15.00	0.49266
15.05	0.47879
15.10	0.46472
15.15	0.45065
15.20	0.42836
15.25	0.40227
15.30	0.38624
15.35	0.37051
15.40	0.35594
15.45	0.34317
15.50	0.33040
15.55	0.31362
15.60	0.29451
15.65	0.28319
15.70	0.27274
15.75	0.26383
15.80	0.25735
15.85	0.25088
15.90	0.24262
15.95	0.23256
16.00	0.22531
16.05	0.21939
16.10	0.21376
16.15	0.20972
16.20	0.20568
16.25	0.20167
