// Co-polarized Raman gain spectrum for PSCF fiber
# df	RamanGain
# [ THz ] [ 1/km/W ]
# PumpWavelength [ nm ] 1460
17.45	0.17538
17.50	0.17978
17.55	0.1816
17.60	0.18344
17.65	0.18704
17.70	0.19148
17.75	0.1944
17.80	0.19252
17.85	0.19344
17.90	0.19658
17.95	0.19972
18.00	0.1973
18.05	0.19436
18.10	0.19144
18.15	0.1886
18.20	0.18372
18.25	0.1782
18.30	0.17288
18.35	0.16914
18.40	0.16538
18.45	0.15462
18.50	0.1403
18.55	0.13546
18.60	0.13076
18.65	0.12584
18.70	0.12054
18.75	0.11524
18.80	0.11596
18.85	0.11706
18.90	0.1169
18.95	0.11672
19.00	0.11732
19.05	0.1183
19.10	0.11766
19.15	0.11198
19.20	0.10632
19.25	0.10002
19.30	0.09372
19.35	0.09158
19.40	0.08944
19.45	0.08678
19.50	0.08374
19.55	0.08068
19.60	0.07398
19.65	0.07034
19.70	0.0745
19.75	0.07866
19.80	0.0807
19.85	0.08146
19.90	0.08222
19.95	0.07948
20.00	0.07654
20.05	0.07356
20.10	0.07058
20.15	0.06994
20.20	0.0727
20.25	0.07546
20.30	0.07366
20.35	0.07018
20.40	0.06982
20.45	0.0698
20.50	0.06964
20.55	0.06926
20.60	0.06888
20.65	0.07
20.70	0.07186
20.75	0.06994
20.80	0.0674
20.85	0.06554
20.90	0.06514
20.95	0.06472
21.00	0.064
21.05	0.06316
21.10	0.062
21.15	0.06084
21.20	0.06156
21.25	0.06306
21.30	0.06408
21.35	0.06262
21.40	0.0624
21.45	0.06358
21.50	0.06476
21.55	0.06434
21.60	0.06384
21.65	0.0639
21.70	0.06474
21.75	0.06434
21.80	0.0633
21.85	0.06236
21.90	0.06176
21.95	0.06114
22.00	0.05898
22.05	0.0559
22.10	0.0566
22.15	0.0573
22.20	0.05676
22.25	0.05542
22.30	0.05444
22.35	0.05432
22.40	0.05424
22.45	0.05646
22.50	0.0587
22.55	0.06012
22.60	0.0615
22.65	0.06236
22.70	0.06322
22.75	0.06364
22.80	0.06396
22.85	0.0655
22.90	0.06704
22.95	0.06828
23.00	0.06944
23.05	0.07152
23.10	0.07476
23.15	0.07758
23.20	0.08028
23.25	0.08302
23.30	0.0858
23.35	0.08858
23.40	0.09094
23.45	0.09376
23.50	0.09734
23.55	0.10094
23.60	0.10354
23.65	0.10606
23.70	0.10884
23.75	0.11204
23.80	0.11394
23.85	0.1156
23.90	0.11686
23.95	0.11778
24.00	0.11832
24.05	0.11604
24.10	0.11376
24.15	0.1102
24.20	0.10654
24.25	0.10416
24.30	0.10176
24.35	0.10022
24.40	0.09892
24.45	0.09766
24.50	0.09646
24.55	0.0955
24.60	0.09462
24.65	0.0945
24.70	0.09556
24.75	0.0948
24.80	0.09288
24.85	0.0911
24.90	0.09086
24.95	0.0906
25.00	0.08908
25.05	0.08674
25.10	0.08422
25.15	0.0783
25.20	0.07238
25.25	0.06644
25.30	0.0604
25.35	0.05384
25.40	0.04728
25.45	0.04328
25.50	0.03996
25.55	0.0372
25.60	0.03528
25.65	0.03364
25.70	0.03578
25.75	0.03584
25.80	0.0337
25.85	0.032
25.90	0.03274
25.95	0.03348
26.00	0.02764
26.05	0.02134
26.10	0.01868
26.15	0.01756
26.20	0.01178
26.25	0.00598
26.30	0.00452
26.35	0.00514
26.40	0.00548
26.45	0.00548
26.50	0.00588
26.55	0.00958
26.60	0.0133
26.65	0.0
26.70	0.0
26.75	0.0
26.80	0.0
26.85	0.0
26.90	0.0
26.95	0.0
27.00	0.0
	
