# df	RamanGain
# [ THz ] [ 1/km/W ]
# PumpWavelength [ nm ] 1460
17.50	0.11910
17.55	0.12031
17.60	0.12153
17.65	0.12391
17.70	0.12686
17.75	0.12879
17.80	0.12754
17.85	0.12815
17.90	0.13024
17.95	0.13232
18.00	0.13071
18.05	0.12876
18.10	0.12683
18.15	0.12495
18.20	0.12172
18.25	0.11806
18.30	0.11453
18.35	0.11205
18.40	0.10957
18.45	0.10244
18.50	0.09295
18.55	0.08974
18.60	0.08663
18.65	0.08337
18.70	0.07986
18.75	0.07635
18.80	0.07683
18.85	0.07755
18.90	0.07744
18.95	0.07733
19.00	0.07773
19.05	0.07838
19.10	0.07795
19.15	0.07419
19.20	0.07044
19.25	0.06626
19.30	0.06209
19.35	0.06067
19.40	0.05926
19.45	0.05749
19.50	0.05548
19.55	0.05345
19.60	0.04901
19.65	0.04660
19.70	0.04935
19.75	0.05211
19.80	0.05347
19.85	0.05397
19.90	0.05447
19.95	0.05265
20.00	0.05071
20.05	0.04874
20.10	0.04676
20.15	0.04634
20.20	0.04817
20.25	0.04999
20.30	0.04880
20.35	0.04649
20.40	0.04625
20.45	0.04624
20.50	0.04614
20.55	0.04588
20.60	0.04563
20.65	0.04637
20.70	0.04761
20.75	0.04634
20.80	0.04465
20.85	0.04342
20.90	0.04315
20.95	0.04288
21.00	0.04240
21.05	0.04184
21.10	0.04108
21.15	0.04031
21.20	0.04078
21.25	0.04178
21.30	0.04245
21.35	0.04148
21.40	0.04134
21.45	0.04212
21.50	0.04290
21.55	0.04262
21.60	0.04229
21.65	0.04234
21.70	0.04289
21.75	0.04262
21.80	0.04194
21.85	0.04131
21.90	0.04091
21.95	0.04051
22.00	0.03908
22.05	0.03704
22.10	0.03750
22.15	0.03796
22.20	0.03760
22.25	0.03672
22.30	0.03606
22.35	0.03599
22.40	0.03593
22.45	0.03740
22.50	0.03889
22.55	0.03983
22.60	0.04074
22.65	0.04131
22.70	0.04188
22.75	0.04216
22.80	0.04238
22.85	0.04340
22.90	0.04442
22.95	0.04524
23.00	0.04601
23.05	0.04738
23.10	0.04953
23.15	0.05140
23.20	0.05319
23.25	0.05500
23.30	0.05684
23.35	0.05868
23.40	0.06025
23.45	0.06211
23.50	0.06449
23.55	0.06687
23.60	0.06860
23.65	0.07026
23.70	0.07211
23.75	0.07423
23.80	0.07548
23.85	0.07658
23.90	0.07742
23.95	0.07803
24.00	0.07839
24.05	0.07688
24.10	0.07537
24.15	0.07301
24.20	0.07058
24.25	0.06900
24.30	0.06741
24.35	0.06639
24.40	0.06553
24.45	0.06470
24.50	0.06390
24.55	0.06327
24.60	0.06268
24.65	0.06260
24.70	0.06331
24.75	0.06280
24.80	0.06153
24.85	0.06035
24.90	0.06019
24.95	0.06002
25.00	0.05902
25.05	0.05747
25.10	0.05580
25.15	0.05188
25.20	0.04795
25.25	0.04402
25.30	0.04002
25.35	0.03567
25.40	0.03132
25.45	0.02867
25.50	0.02647
25.55	0.02464
25.60	0.02337
25.65	0.02228
25.70	0.02370
25.75	0.02374
25.80	0.02233
25.85	0.02120
25.90	0.02169
25.95	0.02218
26.00	0.01831
26.05	0.01414
26.10	0.01237
26.15	0.01164
26.20	0.00780
26.25	0.00396
26.30	0.00300
26.35	0.00341
26.40	0.00363
26.45	0.00363
26.50	0.00390
26.55	0.00635
26.60	0.00881
26.65	0.00000
26.70	0.00000
26.75	0.00000
26.80	0.00000
26.85	0.00000
26.90	0.00000
26.95	0.00000
27.00	0.00000
