// Co-polarized Raman gain spectrum for IDF fiber		
# df	RamanGain	
# [THz]	[1/m/W]	
# PumpFrequency	[THz]	206.753419
11.45	1.5607666E-03
11.5	1.5713792E-03
11.55	1.5817898E-03
11.6	1.5922190E-03
11.65	1.6027188E-03
11.7	1.6133362E-03
11.75	1.6240240E-03
11.8	1.6345802E-03
11.85	1.6450330E-03
11.9	1.6554952E-03
11.95	1.6658916E-03
12	1.6761798E-03
12.05	1.6863742E-03
12.1	1.6964744E-03
12.15	1.7064478E-03
12.2	1.7164166E-03
12.25	1.7264182E-03
12.3	1.7364620E-03
12.35	1.7465106E-03
12.4	1.7563712E-03
12.45	1.7659592E-03
12.5	1.7752558E-03
12.55	1.7842188E-03
12.6	1.7928714E-03
12.65	1.8012844E-03
12.7	1.8095000E-03
12.75	1.8172174E-03
12.8	1.8241734E-03
12.85	1.8323796E-03
12.9	1.8396364E-03
12.95	1.8463716E-03
13	1.8524956E-03
13.05	1.8579336E-03
13.1	1.8625772E-03
13.15	1.8661350E-03
13.2	1.8684380E-03
13.25	1.8693546E-03
13.3	1.8691948E-03
13.35	1.8683394E-03
13.4	1.8663560E-03
13.45	1.8630566E-03
13.5	1.8581498E-03
13.55	1.8518800E-03
13.6	1.8448158E-03
13.65	1.8372160E-03
13.7	1.8290990E-03
13.75	1.8206860E-03
13.8	1.8117420E-03
13.85	1.8028072E-03
13.9	1.7944554E-03
13.95	1.7871516E-03
14	1.7810180E-03
14.05	1.7765624E-03
14.1	1.7729340E-03
14.15	1.7698180E-03
14.2	1.7673270E-03
14.25	1.7671202E-03
14.3	1.7717402E-03
14.35	1.7820850E-03
14.4	1.7920866E-03
14.45	1.8012234E-03
14.5	1.8093732E-03
14.55	1.8145056E-03
14.6	1.8139040E-03
14.65	1.8079772E-03
14.7	1.7964246E-03
14.75	1.7777704E-03
14.8	1.7563712E-03
14.85	1.7288480E-03
14.9	1.6952712E-03
14.95	1.6556362E-03
15	1.6105538E-03
15.05	1.5611332E-03
15.1	1.5080468E-03
15.15	1.4515716E-03
15.2	1.3930612E-03
15.25	1.3334418E-03
15.3	1.2731360E-03
15.35	1.2135542E-03
15.4	1.1558898E-03
15.45	1.1005708E-03
15.5	1.0482410E-03
15.55	9.9928580E-04 
15.6	9.5362060E-04 
15.65	9.1163080E-04 
15.7	8.7317540E-04 
15.75	8.3805700E-04 
15.8	8.0622400E-04 
15.85	7.7765740E-04 
15.9	7.5204700E-04 
15.95	7.2892300E-04 
16	7.0799860E-04 
16.05	6.8914220E-04 
16.1	6.7189800E-04 
16.15	6.5596020E-04 
16.2	6.4126800E-04 
16.25	6.2738900E-04 
16.3	6.1461440E-04 
16.35	6.0279860E-04 
16.4	5.9168780E-04 
16.45	5.8127720E-04 
16.5	5.7165160E-04 
16.55	5.6269340E-04 
16.6	5.5455780E-04 
16.65	5.4722580E-04 
16.7	5.4059400E-04 
16.75	5.3489760E-04 
16.8	5.3022580E-04 
16.85	5.2660220E-04 
16.9	5.2394660E-04 
16.95	5.2222640E-04 
17	5.2127240E-04 
17.05	5.2123940E-04 
17.1	5.2215120E-04 
17.15	5.2390900E-04 
17.2	5.2641420E-04 
17.25	5.2969480E-04 
17.3	5.3384960E-04 
17.35	5.3899140E-04 
17.4	5.4506840E-04 
17.45	5.5245680E-04 
17.5	5.6101080E-04 
17.55	5.7029340E-04 
17.6	5.8032320E-04 
17.65	5.9105800E-04 
17.7	6.0189620E-04 
17.75	6.1270140E-04 
17.8	6.2279700E-04 
17.85	6.3147800E-04 
17.9	6.3815200E-04 
17.95	6.4236780E-04 
18	6.4366980E-04 
18.05	6.4188840E-04 
18.1	6.3692060E-04 
18.15	6.2870020E-04 
18.2	6.1704900E-04 
18.25	6.0251660E-04 
18.3	5.8560600E-04 
