// Co-polarized Raman gain spectrum for SMF fibers
# df	RamanGain
# [ Hz ] [ 1/m/W ]
# PumpWavelength [ nm ] 1500
9.7500E+12	5.63943E-04
9.8000E+12	5.68487E-04
9.8500E+12	5.73068E-04
9.9000E+12	5.77985E-04
9.9500E+12	5.82902E-04
1.0000E+13	5.87932E-04
1.0050E+13	5.93037E-04
1.0100E+13	5.98143E-04
1.0150E+13	6.03267E-04
1.0200E+13	6.08393E-04
1.0250E+13	6.13519E-04
1.0300E+13	6.17978E-04
1.0350E+13	6.21993E-04
1.0400E+13	6.25804E-04
1.0450E+13	6.29524E-04
1.0500E+13	6.33305E-04
1.0550E+13	6.37328E-04
1.0600E+13	6.41351E-04
1.0650E+13	6.44900E-04
1.0700E+13	6.48046E-04
1.0750E+13	6.51192E-04
1.0800E+13	6.54337E-04
1.0850E+13	6.57594E-04
1.0900E+13	6.61486E-04
1.0950E+13	6.65379E-04
1.1000E+13	6.69272E-04
1.1050E+13	6.73164E-04
1.1100E+13	6.77487E-04
1.1150E+13	6.81911E-04
1.1200E+13	6.86335E-04
1.1250E+13	6.90308E-04
1.1300E+13	6.93407E-04
1.1350E+13	6.96505E-04
1.1400E+13	6.99603E-04
1.1450E+13	7.04243E-04
1.1500E+13	7.09110E-04
1.1550E+13	7.13976E-04
1.1600E+13	7.17953E-04
1.1650E+13	7.20607E-04
1.1700E+13	7.23262E-04
1.1750E+13	7.25916E-04
1.1800E+13	7.29395E-04
1.1850E+13	7.32934E-04
1.1900E+13	7.36473E-04
1.1950E+13	7.40012E-04
1.2000E+13	7.43551E-04
1.2050E+13	7.47090E-04
1.2100E+13	7.50629E-04
1.2150E+13	7.54135E-04
1.2200E+13	7.57481E-04
1.2250E+13	7.60324E-04
1.2300E+13	7.63166E-04
1.2350E+13	7.66009E-04
1.2400E+13	7.68851E-04
1.2450E+13	7.71685E-04
1.2500E+13	7.74517E-04
1.2550E+13	7.77349E-04
1.2600E+13	7.80182E-04
1.2650E+13	7.82393E-04
1.2700E+13	7.84163E-04
1.2750E+13	7.85932E-04
1.2800E+13	7.87702E-04
1.2850E+13	7.89471E-04
1.2900E+13	7.91241E-04
1.2950E+13	7.93010E-04
1.3000E+13	7.93868E-04
1.3050E+13	7.94222E-04
1.3100E+13	7.94576E-04
1.3150E+13	7.94930E-04
1.3200E+13	7.94630E-04
1.3250E+13	7.92861E-04
1.3300E+13	7.91091E-04
1.3350E+13	7.89322E-04
1.3400E+13	7.84589E-04
1.3450E+13	7.79599E-04
1.3500E+13	7.77386E-04
1.3550E+13	7.75172E-04
1.3600E+13	7.72959E-04
1.3650E+13	7.70409E-04
1.3700E+13	7.67664E-04
1.3750E+13	7.64919E-04
1.3800E+13	7.62059E-04
1.3850E+13	7.58611E-04
1.3900E+13	7.55162E-04
1.3950E+13	7.51713E-04
1.4000E+13	7.47726E-04
1.4050E+13	7.43502E-04
1.4100E+13	7.39278E-04
1.4150E+13	7.35804E-04
1.4200E+13	7.34928E-04
