// Co-polarized Raman gain spectrum for SLA fiber		
# df	RamanGain	
# [THz]	[1/m/W]	
# PumpFrequency	[THz]	206.753419
12.15	4.9378060E-04
12.2	4.9666520E-04
12.25	4.9955920E-04
12.3	5.0246560E-04
12.35	5.0537320E-04
12.4	5.0822660E-04
12.45	5.1100100E-04
12.5	5.1369100E-04
12.55	5.1628460E-04
12.6	5.1878840E-04
12.65	5.2122280E-04
12.7	5.2360000E-04
12.75	5.2583320E-04
12.8	5.2784600E-04
12.85	5.3022040E-04
12.9	5.3232040E-04
12.95	5.3426920E-04
13	5.3604120E-04
13.05	5.3761480E-04
13.1	5.3895840E-04
13.15	5.3998800E-04
13.2	5.4065440E-04
13.25	5.4091960E-04
13.3	5.4087340E-04
13.35	5.4062580E-04
13.4	5.4005200E-04
13.45	5.3909720E-04
13.5	5.3767740E-04
13.55	5.3586320E-04
13.6	5.3381900E-04
13.65	5.3162000E-04
13.7	5.2927120E-04
13.75	5.2683680E-04
13.8	5.2424880E-04
13.85	5.2166340E-04
13.9	5.1924660E-04
13.95	5.1713320E-04
14	5.1535840E-04
14.05	5.1406920E-04
14.1	5.1301920E-04
14.15	5.1211760E-04
14.2	5.1139680E-04
14.25	5.1133680E-04
14.3	5.1267380E-04
14.35	5.1566720E-04
14.4	5.1856120E-04
14.45	5.2120500E-04
14.5	5.2356320E-04
14.55	5.2504840E-04
14.6	5.2487440E-04
14.65	5.2315940E-04
14.7	5.1981640E-04
14.75	5.1441860E-04
14.8	5.0822660E-04
14.85	5.0026240E-04
14.9	4.9054660E-04
14.95	4.7907760E-04
15	4.6603260E-04
15.05	4.5173220E-04
15.1	4.3637100E-04
15.15	4.2002920E-04
15.2	4.0309860E-04
15.25	3.8584700E-04
15.3	3.6839680E-04
15.35	3.5115600E-04
15.4	3.3447020E-04
15.45	3.1846300E-04
15.5	3.0332080E-04
15.55	2.8915500E-04
15.6	2.7594120E-04
15.65	2.6379100E-04
15.7	2.5266360E-04
15.75	2.4250160E-04
15.8	2.3329040E-04
15.85	2.2502420E-04
15.9	2.1761360E-04
15.95	2.1092240E-04
16	2.0486760E-04
16.05	1.9941136E-04
16.1	1.9442152E-04
16.15	1.8980976E-04
16.2	1.8555840E-04
16.25	1.8154232E-04
16.3	1.7784584E-04
16.35	1.7442680E-04
16.4	1.7121176E-04
16.45	1.6819936E-04
16.5	1.6541408E-04
16.55	1.6282192E-04
16.6	1.6046776E-04
16.65	1.5834616E-04
16.7	1.5642720E-04
16.75	1.5477888E-04
16.8	1.5342704E-04
16.85	1.5237848E-04
16.9	1.5161008E-04
16.95	1.5111232E-04
17	1.5083624E-04
17.05	1.5082672E-04
17.1	1.5109056E-04
17.15	1.5159920E-04
17.2	1.5232408E-04
17.25	1.5327336E-04
17.3	1.5447560E-04
17.35	1.5596344E-04
17.4	1.5772192E-04
17.45	1.5985984E-04
17.5	1.6233504E-04
17.55	1.6502104E-04
17.6	1.6792328E-04
17.65	1.7102952E-04
17.7	1.7416568E-04
17.75	1.7729232E-04
17.8	1.8021360E-04
17.85	1.8272552E-04
17.9	1.8465672E-04
17.95	1.8587664E-04
18	1.8625336E-04
18.05	1.8573792E-04
18.1	1.8430040E-04
18.15	1.8192176E-04
18.2	1.7855032E-04
18.25	1.7434520E-04
18.3	1.6945192E-04
18.35	1.6401464E-04
18.4	1.5821152E-04
18.45	1.5227784E-04
18.5	1.4620272E-04
18.55	1.4014256E-04
18.6	1.3430952E-04
18.65	1.2879336E-04
18.7	1.2357096E-04
18.75	1.1874568E-04
18.8	1.1421688E-04
18.85	1.1001992E-04
18.9	1.0617928E-04
18.95	1.0268680E-04
19	9.9512560E-05
19.05	9.6640240E-05
19.1	9.4033120E-05
19.15	9.1628640E-05
19.2	8.9356080E-05
19.25	8.7298400E-05
19.3	8.5448800E-05
19.35	8.3771920E-05
19.4	8.2239200E-05
