// Raman gain spectrum for silica SMF fibers	
// C.M.McIntosh, D.N.Christodoulidis, J.Toulouse, et. al., OAA 2000, paper OMB3-1, pp.10-12
// R.H.Stolen, C.Lee, R.K.Jain, JOSA B1, pp. 652-657, 1984.
// Gain data are normalized to the wavelength 1500nm or frequency 199.861639e+12 Hz.	
// Effective core area used in calculations of the gain [1/m/W] from the gain	
// coefficient [m/W] is Aeff = 20e-12	
# df	RamanGain
# [ Hz ] [ 1/m/W ]
# PumpFrequency [ Hz ] 199.86e12
1.04500E+13	0.0050362
1.05000E+13	0.00506644
1.05500E+13	0.00509862
1.06000E+13	0.0051308
1.06500E+13	0.0051592
1.07000E+13	0.00518436
1.07500E+13	0.00520954
1.08000E+13	0.0052347
1.08500E+13	0.00526076
1.09000E+13	0.00529188
1.09500E+13	0.00532304
1.10000E+13	0.00535418
1.10500E+13	0.00538532
1.11000E+13	0.0054199
1.11500E+13	0.00545528
1.12000E+13	0.00549068
1.12500E+13	0.00552246
1.13000E+13	0.00554726
1.13500E+13	0.00557204
1.14000E+13	0.00559682
1.14500E+13	0.00563394
1.15000E+13	0.00567288
1.15500E+13	0.0057118
1.16000E+13	0.00574362
1.16500E+13	0.00576486
1.17000E+13	0.0057861
1.17500E+13	0.00580732
1.18000E+13	0.00583516
1.18500E+13	0.00586348
1.19000E+13	0.00589178
1.19500E+13	0.0059201
1.20000E+13	0.0059484
1.20500E+13	0.00597672
1.21000E+13	0.00600504
1.21500E+13	0.00603308
1.22000E+13	0.00605984
1.22500E+13	0.0060826
1.23000E+13	0.00610532
1.23500E+13	0.00612808
1.24000E+13	0.0061508
1.24500E+13	0.00617348
1.25000E+13	0.00619614
1.25500E+13	0.0062188
1.26000E+13	0.00624146
1.26500E+13	0.00625914
1.27000E+13	0.0062733
1.27500E+13	0.00628746
1.28000E+13	0.00630162
1.28500E+13	0.00631576
1.29000E+13	0.00632992
1.29500E+13	0.00634408
1.30000E+13	0.00635094
1.30500E+13	0.00635378
1.31000E+13	0.0063566
1.31500E+13	0.00635944
1.32000E+13	0.00635704
1.32500E+13	0.00634288
1.33000E+13	0.00632872
1.33500E+13	0.00631458
1.34000E+13	0.00627672
1.34500E+13	0.0062368
1.35000E+13	0.00621908
1.35500E+13	0.00620138
1.36000E+13	0.00618368
1.36500E+13	0.00616328
1.37000E+13	0.00614132
1.37500E+13	0.00611936
1.38000E+13	0.00609648
1.38500E+13	0.00606888
1.39000E+13	0.0060413
1.39500E+13	0.0060137
1.40000E+13	0.0059818
1.40500E+13	0.00594802
1.41000E+13	0.00591422
1.41500E+13	0.00588644
1.42000E+13	0.00587942
1.42500E+13	0.00587242
1.43000E+13	0.00587646
1.43500E+13	0.00588568
1.44000E+13	0.00589756
1.44500E+13	0.00603478
1.45000E+13	0.00618458
1.45500E+13	0.00628018
1.46000E+13	0.00614602
1.46500E+13	0.0059454
1.47000E+13	0.00571182
1.47500E+13	0.00552522
1.48000E+13	0.005325
1.48500E+13	0.0050992
1.49000E+13	0.00485428
1.49500E+13	0.00457026
1.50000E+13	0.00423762
1.50500E+13	0.00396616
1.51000E+13	0.00368012
1.51500E+13	0.0034004
1.52000E+13	0.00314796
1.52500E+13	0.00296034
1.53000E+13	0.00280444
1.53500E+13	0.00267048
1.54000E+13	0.00256622
1.54500E+13	0.00249278
1.55000E+13	0.00242258
1.55500E+13	0.00235888
1.56000E+13	0.00229518
1.56500E+13	0.00223148
1.57000E+13	0.00218204
1.57500E+13	0.00213484
1.58000E+13	0.00208764
1.58500E+13	0.00204044
1.59000E+13	0.00199324
1.59500E+13	0.00195476
1.60000E+13	0.001920768
1.60500E+13	0.001886784
1.61000E+13	0.0018528
1.61500E+13	0.001818808
1.62000E+13	0.001784704
1.62500E+13	0.00175024
1.63000E+13	0.001715768
1.63500E+13	0.001681304
1.64000E+13	0.001646832
1.64500E+13	0.001615952
1.65000E+13	0.001595728
1.65500E+13	0.001575504
1.66000E+13	0.00155528
1.66500E+13	0.001535056
1.67000E+13	0.001514832
1.67500E+13	0.001495704
1.68000E+13	0.001481544
1.68500E+13	0.001467384
1.69000E+13	0.001453224
1.69500E+13	0.001439064
1.70000E+13	0.001424912
1.70500E+13	0.001411672
1.71000E+13	0.001406008
1.71500E+13	0.001400344
1.72000E+13	0.00139468
1.72500E+13	0.001389024
1.73000E+13	0.001399984
1.73500E+13	0.00141592
1.74000E+13	0.001431848
1.74500E+13	0.001447784
1.75000E+13	0.001463712
1.75500E+13	0.00147964
1.76000E+13	0.001495576
1.76500E+13	0.001524136
1.77000E+13	0.001555256
1.77500E+13	0.001586368
1.78000E+13	0.001628264
1.78500E+13	0.001697904
1.79000E+13	0.001775984
1.79500E+13	0.001873872
1.80000E+13	0.00197832
1.80500E+13	0.00202552
1.81000E+13	0.00207272
1.81500E+13	0.00209706
1.82000E+13	0.00209012
1.82500E+13	0.00205116
1.83000E+13	0.0020061
1.83500E+13	0.00196004
1.84000E+13	0.001903416
1.84500E+13	0.001846792
1.85000E+13	0.001790168
1.85500E+13	0.001723816
1.86000E+13	0.0016514
1.86500E+13	0.001578448
1.87000E+13	0.001467688
1.87500E+13	0.00137028
1.88000E+13	0.00130756
1.88500E+13	0.00124508
1.89000E+13	0.001183104
1.89500E+13	0.001121136
1.90000E+13	0.001068408
1.90500E+13	0.001020376
1.91000E+13	0.000988216
1.91500E+13	0.000956056
1.92000E+13	0.000923904
1.92500E+13	0.000891744
1.93000E+13	0.000859592
1.93500E+13	0.00083128
1.94000E+13	0.000802968
1.94500E+13	0.000774654
1.95000E+13	0.000746336
1.95500E+13	0.000718014
1.96000E+13	0.00068969
1.96500E+13	0.000661368
1.97000E+13	0.000636622
1.97500E+13	0.000626554
1.98000E+13	0.000616486
1.98500E+13	0.000606416
1.99000E+13	0.000596348
1.99500E+13	0.00058628
2.00000E+13	0.00057621
2.00500E+13	0.000566142
2.01000E+13	0.000557792
2.01500E+13	0.00055213
2.02000E+13	0.000546468
2.02500E+13	0.000540804
2.03000E+13	0.000535142
2.03500E+13	0.00052948
2.04000E+13	0.000523818
2.04500E+13	0.000518156
2.05000E+13	0.000513436
2.05500E+13	0.00050939
2.06000E+13	0.000505344
2.06500E+13	0.0005013
2.07000E+13	0.000497256
2.07500E+13	0.00049321
2.08000E+13	0.000490326
2.08500E+13	0.000488556
2.09000E+13	0.000486784
2.09500E+13	0.000485016
2.10000E+13	0.000483244
2.10500E+13	0.000481474
2.11000E+13	0.000479704
2.11500E+13	0.000478556
2.12000E+13	0.00047787
2.12500E+13	0.000477184
2.13000E+13	0.000476498
2.13500E+13	0.000475812
2.14000E+13	0.000475126
2.14500E+13	0.00047444
2.15000E+13	0.000473756
2.15500E+13	0.00047307
2.16000E+13	0.00047356
2.16500E+13	0.000474184
2.17000E+13	0.000474806
2.17500E+13	0.00047543
2.18000E+13	0.000476052
2.18500E+13	0.000476676
2.19000E+13	0.0004773
2.19500E+13	0.000477922
2.20000E+13	0.000478546
2.20500E+13	0.000480628
2.21000E+13	0.000485346
2.21500E+13	0.000490064
2.22000E+13	0.000494784
2.22500E+13	0.000499504
2.23000E+13	0.000504222
2.23500E+13	0.00050894
2.24000E+13	0.00051366
2.24500E+13	0.00051838
2.25000E+13	0.000523098
2.25500E+13	0.000527818
2.26000E+13	0.000532536
2.26500E+13	0.000537256
2.27000E+13	0.00054663
2.27500E+13	0.000564884
2.28000E+13	0.00058314
2.28500E+13	0.000601394
2.29000E+13	0.000619648
2.29500E+13	0.000637902
2.30000E+13	0.000656156
2.30500E+13	0.000683978
2.31000E+13	0.000725794
2.31500E+13	0.00076761
2.32000E+13	0.000809424
2.32500E+13	0.000854656
2.33000E+13	0.000901488
2.33500E+13	0.000943568
2.34000E+13	0.000975552
2.34500E+13	0.001007528
2.35000E+13	0.001039512
2.35500E+13	0.001054056
2.36000E+13	0.001065856
2.36500E+13	0.001077648
2.37000E+13	0.001089448
2.37500E+13	0.001101248
2.38000E+13	0.001109264
2.38500E+13	0.001115336
2.39000E+13	0.0011214
2.39500E+13	0.001127472
2.40000E+13	0.001133544
2.40500E+13	0.001139608
2.41000E+13	0.001136904
2.41500E+13	0.001128056
2.42000E+13	0.001119208
2.42500E+13	0.00111036
2.43000E+13	0.001101512
2.43500E+13	0.001092664
2.44000E+13	0.001083816
2.44500E+13	0.00107356
2.45000E+13	0.001062552
2.45500E+13	0.001051536
2.46000E+13	0.001040528
2.46500E+13	0.001029512
2.47000E+13	0.001018504
2.47500E+13	0.001007488
2.48000E+13	0.00099648
2.48500E+13	0.000980432
2.49000E+13	0.000963448
2.49500E+13	0.000946464
2.50000E+13	0.00092948
2.50500E+13	0.000911536
2.51000E+13	0.000892656
2.51500E+13	0.000873784
2.52000E+13	0.00085916
2.52500E+13	0.000845
2.53000E+13	0.00083084
2.53500E+13	0.000816688
2.54000E+13	0.000802528
2.54500E+13	0.000788372
2.55000E+13	0.00076834
2.55500E+13	0.000747106
