# Frequency	Wavelength	 SignalPowerOut 	 NoisePowerOut 	 OSNR_Out 	 Gain 	 NoiseFigureStandard 	
# [Hz]	[m]	[dBm]	[dBm]	[dB]	[dB]	[dB]	
1.80000000e+14	1.66551366e-06	-4.14722531e+01	-6.85929249e+01	2.71206717e+01	-1.14722531e+01	1.22111978e+01	
1.80200000e+14	1.66366514e-06	-4.14005237e+01	-6.82697911e+01	2.68692673e+01	-1.14005237e+01	1.21908370e+01	
1.80400000e+14	1.66182072e-06	-4.12701320e+01	-6.77055203e+01	2.64353883e+01	-1.12701320e+01	1.21586686e+01	
1.80600000e+14	1.65998039e-06	-4.10683537e+01	-6.69821458e+01	2.59137920e+01	-1.10683537e+01	1.20991162e+01	
1.80800000e+14	1.65814413e-06	-4.08529350e+01	-6.62987028e+01	2.54457678e+01	-1.08529350e+01	1.20361797e+01	
1.81000000e+14	1.65631192e-06	-4.05955345e+01	-6.55616207e+01	2.49660862e+01	-1.05955345e+01	1.19649596e+01	
1.81200000e+14	1.65448376e-06	-4.01695313e+01	-6.45445895e+01	2.43750582e+01	-1.01695313e+01	1.18367938e+01	
1.81400000e+14	1.65265964e-06	-3.95570476e+01	-6.33328043e+01	2.37757567e+01	-9.55704761e+00	1.16466701e+01	
1.81600000e+14	1.65083953e-06	-3.91081465e+01	-6.25791315e+01	2.34709850e+01	-9.10814649e+00	1.14992240e+01	
1.81800000e+14	1.64902342e-06	-3.87756088e+01	-6.20888828e+01	2.33132741e+01	-8.77560876e+00	1.13788808e+01	
1.82000000e+14	1.64721131e-06	-3.89747789e+01	-6.24561271e+01	2.34813482e+01	-8.97477892e+00	1.14142502e+01	
1.82200000e+14	1.64540317e-06	-3.95983815e+01	-6.34471301e+01	2.38487486e+01	-9.59838145e+00	1.16375232e+01	
1.82400000e+14	1.64359900e-06	-3.98347772e+01	-6.38560425e+01	2.40212653e+01	-9.83477720e+00	1.17234907e+01	
1.82600000e+14	1.64179878e-06	-3.99483303e+01	-6.40668028e+01	2.41184726e+01	-9.94833026e+00	1.17622522e+01	
1.82800000e+14	1.64000251e-06	-4.00145704e+01	-6.41677835e+01	2.41532131e+01	-1.00145704e+01	1.17926809e+01	
1.83000000e+14	1.63821015e-06	-3.99607464e+01	-6.40362552e+01	2.40755089e+01	-9.96074637e+00	1.17818647e+01	
1.83200000e+14	1.63642171e-06	-3.98598951e+01	-6.38216758e+01	2.39617807e+01	-9.85989509e+00	1.17540319e+01	
1.83400000e+14	1.63463718e-06	-3.97285768e+01	-6.35505207e+01	2.38219439e+01	-9.72857684e+00	1.17187632e+01	
1.83600000e+14	1.63285653e-06	-3.95655238e+01	-6.32253941e+01	2.36598703e+01	-9.56552383e+00	1.16762565e+01	
1.83800000e+14	1.63107975e-06	-3.93199614e+01	-6.27852825e+01	2.34653211e+01	-9.31996141e+00	1.16034896e+01	
1.84000000e+14	1.62930684e-06	-3.90776230e+01	-6.23745401e+01	2.32969171e+01	-9.07762298e+00	1.15317920e+01	
1.84200000e+14	1.62753777e-06	-3.87804235e+01	-6.18933276e+01	2.31129041e+01	-8.78042347e+00	1.14467337e+01	
1.84400000e+14	1.62577255e-06	-3.84107649e+01	-6.13359324e+01	2.29251675e+01	-8.41076492e+00	1.13393948e+01	
1.84600000e+14	1.62401115e-06	-3.79280077e+01	-6.06528711e+01	2.27248634e+01	-7.92800773e+00	1.12026151e+01	
1.84800000e+14	1.62225356e-06	-3.68918323e+01	-5.93242129e+01	2.24323806e+01	-6.89183227e+00	1.09172884e+01	
1.85000000e+14	1.62049977e-06	-3.49509617e+01	-5.72842259e+01	2.23332642e+01	-4.95096169e+00	1.03156912e+01	
1.85200000e+14	1.61874977e-06	-3.30142023e+01	-5.55595031e+01	2.25453008e+01	-3.01420229e+00	9.66503991e+00	
1.85400000e+14	1.61700355e-06	-3.15518959e+01	-5.43136138e+01	2.27617179e+01	-1.55189588e+00	9.20398692e+00	
1.85600000e+14	1.61526109e-06	-3.19944982e+01	-5.47230514e+01	2.27285532e+01	-1.99449816e+00	9.30644396e+00	
1.85800000e+14	1.61352238e-06	-3.20268800e+01	-5.47230260e+01	2.26961461e+01	-2.02687998e+00	9.33503801e+00	
1.86000000e+14	1.61178741e-06	-3.18445846e+01	-5.45378140e+01	2.26932295e+01	-1.84458455e+00	9.30029018e+00	
1.86200000e+14	1.61005617e-06	-3.16404181e+01	-5.43470327e+01	2.27066146e+01	-1.64041810e+00	9.24938450e+00	
1.86400000e+14	1.60832864e-06	-3.14851705e+01	-5.41960398e+01	2.27108693e+01	-1.48517052e+00	9.21544144e+00	
1.86600000e+14	1.60660481e-06	-3.13195224e+01	-5.40266367e+01	2.27071143e+01	-1.31952239e+00	9.18718997e+00	
1.86800000e+14	1.60488468e-06	-3.11765174e+01	-5.38966701e+01	2.27201527e+01	-1.17651740e+00	9.14926940e+00	
1.87000000e+14	1.60316822e-06	-3.11874467e+01	-5.38850603e+01	2.26976136e+01	-1.18744668e+00	9.16605142e+00	
1.87200000e+14	1.60145544e-06	-3.12753786e+01	-5.39364459e+01	2.26610673e+01	-1.27537864e+00	9.20692762e+00	
1.87400000e+14	1.59974631e-06	-3.13826041e+01	-5.40038514e+01	2.26212473e+01	-1.38260413e+00	9.25379066e+00	
1.87600000e+14	1.59804082e-06	-3.15441330e+01	-5.41132200e+01	2.25690870e+01	-1.54413296e+00	9.32013591e+00	
1.87800000e+14	1.59633897e-06	-3.17062175e+01	-5.42241887e+01	2.25179712e+01	-1.70621746e+00	9.38612982e+00	
